City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Bambous Virieux,MU,-20.34,57.76,72.0,77,75,13.87,shower rain,0.0,0
1,Castro,BR,-24.79,-50.01,69.67,63,44,12.01,scattered clouds,0.0,0
2,San Fernando,PH,15.03,120.69,80.6,83,75,3.36,broken clouds,0.0,0
3,Gbarnga,LR,7.0,-9.47,76.84,78,99,3.69,light rain,0.13,0
4,Nanortalik,GL,60.14,-45.24,44.58,92,98,9.37,overcast clouds,0.0,0
5,Narsaq,GL,60.92,-46.05,55.4,76,75,6.93,broken clouds,0.0,0
6,Port Alfred,ZA,-33.59,26.89,52.0,96,94,8.99,light rain,0.36,0
7,Hermanus,ZA,-34.42,19.23,57.0,64,39,1.01,scattered clouds,0.0,0
8,Ushuaia,AR,-54.8,-68.3,32.0,91,75,3.36,broken clouds,0.0,0
9,Mount Isa,AU,-20.73,139.5,62.6,33,67,17.22,broken clouds,0.0,0
10,Guerrero Negro,MX,27.98,-114.06,77.67,45,2,6.08,clear sky,0.0,0
11,Luza,RU,60.63,47.25,71.38,60,98,4.83,overcast clouds,0.0,0
12,Elat,IL,29.56,34.95,102.2,26,0,8.05,clear sky,0.0,0
13,Elesbao Veloso,BR,-6.2,-42.14,90.39,35,6,8.14,clear sky,0.0,0
14,Ponta Do Sol,PT,32.67,-17.1,78.8,57,20,19.46,few clouds,0.0,0
15,Rikitea,PF,-23.12,-134.97,68.25,68,38,19.39,scattered clouds,0.0,0
16,Tuktoyaktuk,CA,69.45,-133.04,37.4,93,75,0.94,mist,0.0,0
17,Mataura,NZ,-46.19,168.86,44.08,91,100,3.51,overcast clouds,0.0,0
18,Clyde River,CA,70.47,-68.59,55.4,58,20,6.93,few clouds,0.0,0
19,Cape Town,ZA,-33.93,18.42,59.0,62,40,11.41,scattered clouds,0.0,0
20,Shahr-E Babak,IR,30.12,55.12,84.69,14,1,18.05,clear sky,0.0,0
21,Atuona,PF,-9.8,-139.03,79.88,76,31,21.39,scattered clouds,0.0,0
22,Severo-Kurilsk,RU,50.68,156.12,50.63,89,100,3.65,light rain,0.24,0
23,Macau,MO,22.2,113.55,86.0,89,40,11.41,scattered clouds,0.0,0
24,Norman Wells,CA,65.28,-126.83,50.0,87,90,5.82,overcast clouds,0.0,0
25,Derzhavinsk,KZ,51.1,66.32,83.66,47,0,6.15,clear sky,0.0,0
26,Hilo,US,19.73,-155.09,71.6,78,40,5.82,scattered clouds,0.0,0
27,Havre-Saint-Pierre,CA,50.23,-63.6,73.4,73,1,9.17,clear sky,0.0,0
28,Albania,AL,41.0,20.0,89.6,35,31,11.41,scattered clouds,0.0,0
29,Surgana,IN,20.57,73.62,76.68,86,22,13.56,few clouds,0.0,0
30,Bluff,NZ,-46.6,168.33,50.11,80,100,24.61,light rain,0.13,0
31,Imbituba,BR,-28.24,-48.67,66.2,68,75,13.87,thunderstorm,0.0,0
32,Tuatapere,NZ,-46.13,167.68,45.45,90,100,4.74,light rain,0.58,0
33,Shangrao,CN,28.45,117.97,80.13,84,100,1.41,overcast clouds,0.0,0
34,Hashtrud,IR,37.48,47.05,71.37,50,72,7.72,broken clouds,0.0,0
35,Bethel,US,41.37,-73.41,80.6,74,75,8.05,broken clouds,0.0,0
36,Rockhampton,AU,-23.38,150.5,57.2,93,40,0.96,scattered clouds,0.0,0
37,Anta,IN,25.15,76.3,92.1,54,93,17.43,overcast clouds,0.0,0
38,Ust-Nera,RU,64.57,143.2,55.71,50,0,1.19,clear sky,0.0,0
39,Punta Arenas,CL,-53.15,-70.92,35.6,74,40,17.22,scattered clouds,0.0,0
40,Bredasdorp,ZA,-34.53,20.04,57.2,62,24,8.05,few clouds,0.0,0
41,Takanabe,JP,32.13,131.5,77.45,88,100,4.25,overcast clouds,0.0,0
42,Pak Phanang,TH,8.35,100.2,80.8,81,100,6.58,overcast clouds,0.0,0
43,Yar-Sale,RU,66.83,70.83,58.84,58,37,10.07,scattered clouds,0.0,0
44,Praia Da Vitoria,PT,38.73,-27.07,73.4,73,40,11.45,scattered clouds,0.0,0
45,Moron,AR,-34.65,-58.62,55.4,37,0,9.17,clear sky,0.0,0
46,Lompoc,US,34.64,-120.46,59.0,100,0,1.3,mist,0.0,0
47,New Norfolk,AU,-42.78,147.06,46.0,91,58,2.28,broken clouds,0.0,0
48,Hobart,AU,-42.88,147.33,46.0,87,90,1.12,overcast clouds,0.0,0
49,Dikson,RU,73.51,80.55,43.09,86,79,13.04,broken clouds,0.0,0
50,Khatanga,RU,71.97,102.5,51.15,82,99,12.71,overcast clouds,0.0,0
51,Slave Lake,CA,55.28,-114.77,55.4,82,1,5.82,clear sky,0.0,0
52,Nosivka,UA,50.93,31.58,80.2,68,0,7.61,clear sky,0.0,0
53,Ponta Delgada,PT,37.73,-25.67,73.4,60,75,8.05,broken clouds,0.0,0
54,Iranshahr,IR,27.2,60.68,107.6,9,20,11.41,few clouds,0.0,0
55,Saint-Philippe,RE,-21.36,55.77,69.8,73,20,4.7,few clouds,0.0,0
56,Henties Bay,NA,-22.12,14.28,61.0,75,0,8.99,clear sky,0.0,0
57,Avarua,CK,-21.21,-159.78,71.6,88,100,2.24,light intensity drizzle,0.0,0
58,Ahome,MX,25.92,-109.18,89.01,55,40,2.51,scattered clouds,0.0,0
59,Tasiilaq,GL,65.61,-37.64,46.4,70,20,18.34,few clouds,0.0,0
60,Ovsyanka,RU,55.96,92.55,57.2,87,40,2.24,scattered clouds,0.0,0
61,Tilichiki,RU,60.47,166.1,48.09,100,100,3.09,overcast clouds,0.0,0
62,Georgetown,MY,5.41,100.34,80.6,94,20,3.15,few clouds,0.0,0
63,Alice Springs,AU,-23.7,133.88,42.8,60,0,1.12,clear sky,0.0,0
64,Bonavista,CA,48.65,-53.11,55.0,82,12,7.0,few clouds,0.0,0
65,Busselton,AU,-33.65,115.33,45.0,68,0,12.95,clear sky,0.0,0
66,Port Hedland,AU,-20.32,118.57,64.4,23,0,10.29,clear sky,0.0,0
67,Lebu,CL,-37.62,-73.65,50.54,80,100,11.68,light rain,0.22,0
68,Manono,CD,-7.3,27.42,94.28,25,69,7.27,broken clouds,0.0,0
69,Saskylakh,RU,71.92,114.08,65.03,81,75,11.77,light rain,0.27,0
70,Queimadas,BR,-10.98,-39.63,81.16,49,44,11.32,scattered clouds,0.0,0
71,Isla Vista,US,34.41,-119.86,66.2,93,90,5.82,fog,0.0,0
72,Naliya,IN,23.27,68.83,85.33,79,100,20.02,overcast clouds,0.0,0
73,Buraydah,SA,26.33,43.98,111.2,15,0,4.7,clear sky,0.0,0
74,Valparaiso,CL,-33.04,-71.63,53.6,100,40,8.05,scattered clouds,0.0,0
75,Ulaanbaatar,MN,47.91,106.88,57.2,87,85,2.24,overcast clouds,0.0,0
76,Vaini,TO,-21.2,-175.2,69.8,88,20,9.17,few clouds,0.0,0
77,Westport,US,41.14,-73.36,79.0,88,90,8.05,overcast clouds,0.0,0
78,Thinadhoo,MV,0.53,72.93,84.34,74,23,9.19,few clouds,0.0,0
79,Sitka,US,57.05,-135.33,53.6,93,90,6.93,light rain,0.0,0
80,Saint Anthony,US,45.02,-93.22,80.6,51,1,5.82,clear sky,0.0,0
81,Ahipara,NZ,-35.17,173.17,49.82,82,42,2.95,scattered clouds,0.0,0
82,Tazovskiy,RU,67.47,78.7,56.52,62,4,9.66,clear sky,0.0,0
83,Granville,AU,-33.83,151.02,54.0,93,100,5.82,light rain,0.25,0
84,Hasaki,JP,35.73,140.83,80.6,83,75,14.99,light intensity shower rain,0.0,0
85,Nioki,CD,-2.72,17.68,94.12,34,73,1.81,broken clouds,0.0,0
86,Souillac,MU,-20.52,57.52,69.8,77,75,13.87,shower rain,0.0,0
87,Rabo De Peixe,PT,37.8,-25.58,73.4,60,75,8.05,broken clouds,0.0,0
88,Baherden,TM,38.44,57.43,94.1,25,18,10.38,few clouds,0.0,0
89,Nouadhibou,MR,20.93,-17.03,75.2,69,0,19.46,clear sky,0.0,0
90,Carnarvon,AU,-24.87,113.63,55.4,66,0,9.17,clear sky,0.0,0
91,Barrow,US,71.29,-156.79,33.8,86,90,8.05,mist,0.0,0
92,Severnyy,RU,50.68,36.55,80.6,34,0,6.71,clear sky,0.0,0
93,Port Elizabeth,ZA,-33.92,25.57,55.4,82,40,20.8,scattered clouds,0.0,0
94,Guasdualito,VE,7.24,-70.73,73.4,94,75,6.93,light intensity drizzle,0.0,0
95,Imeni Poliny Osipenko,RU,52.42,136.49,55.27,94,0,7.14,clear sky,0.0,0
96,Naze,JP,28.37,129.48,80.6,100,84,4.7,broken clouds,0.0,0
97,Jamestown,US,42.1,-79.24,73.99,100,90,6.93,moderate rain,1.02,0
98,Half Moon Bay,US,37.46,-122.43,66.99,87,0,5.01,mist,0.0,0
99,Tall Kayf,TR,37.08,41.07,105.8,14,20,11.41,few clouds,0.0,0
100,Puerto Ayora,EC,-0.74,-90.35,69.01,90,100,1.01,overcast clouds,0.0,0
101,Flin Flon,CA,54.77,-101.86,66.2,82,75,5.82,broken clouds,0.0,0
102,Albany,US,42.6,-73.97,84.99,77,75,7.78,broken clouds,0.0,0
103,Kaitangata,NZ,-46.28,169.85,50.0,55,100,8.99,overcast clouds,0.0,0
104,Luderitz,NA,-26.65,15.16,66.2,52,0,12.75,clear sky,0.0,0
105,Collie,AU,-33.37,116.15,45.0,68,0,4.65,clear sky,0.0,0
106,Hobyo,SO,5.35,48.53,80.06,75,88,30.8,overcast clouds,0.0,0
107,Burnie,AU,-41.07,145.92,46.99,83,93,3.0,overcast clouds,0.0,0
108,Salinopolis,BR,-0.61,-47.36,84.18,71,92,13.6,light rain,0.21,0
109,Basco,PH,20.45,121.97,85.73,67,0,3.85,clear sky,0.0,0
110,Kapaa,US,22.08,-159.32,78.8,83,90,12.75,moderate rain,1.52,0
111,Bengkulu,ID,-3.8,102.27,78.57,87,95,3.96,light rain,0.38,0
112,Kodiak,US,57.79,-152.41,54.23,84,0,1.95,clear sky,0.0,0
113,Hambantota,LK,6.12,81.12,80.6,94,40,2.24,scattered clouds,0.0,0
114,Mahebourg,MU,-20.41,57.7,69.8,77,75,13.87,shower rain,0.0,0
115,Karratha,AU,-20.74,116.85,68.63,29,0,15.12,clear sky,0.0,0
116,Los Llanos De Aridane,ES,28.66,-17.92,75.2,73,20,18.34,few clouds,0.0,0
117,Ribeira Grande,PT,38.52,-28.7,73.4,73,20,9.17,few clouds,0.0,0
118,Pindiga,NG,9.98,10.93,79.74,70,100,7.49,overcast clouds,0.0,0
119,Chokurdakh,RU,70.63,147.92,45.12,81,4,10.16,clear sky,0.0,0
120,Grand Island,US,40.92,-98.34,78.8,61,20,11.41,few clouds,0.0,0
121,Hervey Bay,AU,-25.3,152.85,60.01,87,59,5.01,broken clouds,0.0,0
122,Longyearbyen,SJ,78.22,15.64,44.6,70,75,35.57,broken clouds,0.0,0
123,Iqaluit,CA,63.75,-68.51,37.4,93,90,6.93,overcast clouds,0.0,0
124,Egvekinot,RU,66.32,-179.17,53.76,62,92,3.58,overcast clouds,0.0,0
125,Santiago Del Estero,AR,-27.8,-64.26,59.94,61,28,4.12,scattered clouds,0.0,0
126,Montevideo,UY,-34.83,-56.17,51.8,57,0,8.05,clear sky,0.0,0
127,George,ZA,-33.96,22.46,53.6,62,20,12.75,few clouds,0.0,0
128,Harboore,DK,56.62,8.18,63.0,66,42,4.0,scattered clouds,0.0,0
129,Sunland Park,US,31.8,-106.58,93.0,31,20,3.87,few clouds,0.0,0
130,Pochutla,MX,15.74,-96.47,80.6,74,75,8.05,broken clouds,0.0,0
131,Leningradskiy,RU,69.38,178.42,38.48,80,0,12.84,clear sky,0.0,0
132,Ostrovnoy,RU,68.05,39.51,63.84,52,16,11.83,few clouds,0.0,0
133,Hithadhoo,MV,-0.6,73.08,84.52,75,9,10.45,clear sky,0.0,0
134,Tornio,FI,65.85,24.15,62.6,55,53,5.82,broken clouds,0.0,0
135,Yellowknife,CA,62.46,-114.35,68.0,82,75,6.93,broken clouds,0.0,0
136,Bintulu,MY,3.17,113.03,77.0,100,40,3.8,scattered clouds,0.0,0
137,Itoman,JP,26.12,127.67,84.2,83,20,6.93,few clouds,0.0,0
138,Trelew,AR,-43.25,-65.31,44.82,55,3,37.07,clear sky,0.0,0
139,Pontian Kecil,MY,1.48,103.39,82.0,100,20,7.81,few clouds,0.0,0
140,Jumla,NP,29.27,82.18,63.45,72,48,2.75,light rain,0.2,0
141,Victoria Point,AU,-27.58,153.3,61.0,86,0,9.06,light rain,0.24,0
142,Greenville,US,35.61,-77.37,89.01,70,1,6.93,clear sky,0.0,0
143,Kruisfontein,ZA,-34.0,24.73,52.66,65,59,17.18,broken clouds,0.0,0
144,Plerin,FR,48.54,-2.78,69.01,59,35,12.75,scattered clouds,0.0,0
145,Raudeberg,NO,61.99,5.14,52.0,90,100,18.48,light rain,0.4,0
146,Cabo San Lucas,MX,22.89,-109.91,88.0,51,20,4.7,few clouds,0.0,0
147,Kahului,US,20.89,-156.47,78.8,57,20,16.11,few clouds,0.0,0
148,Constantine,DZ,36.37,6.61,96.8,20,40,9.17,thunderstorm,0.0,0
149,Klaksvik,FO,62.23,-6.59,51.8,87,31,9.17,scattered clouds,0.0,0
150,Baruun-Urt,MN,46.68,113.28,69.01,46,32,8.84,scattered clouds,0.0,0
151,Novyy Buyan,RU,53.69,50.05,78.8,57,0,11.18,clear sky,0.0,0
152,Richards Bay,ZA,-28.78,32.04,62.29,51,95,17.09,overcast clouds,0.0,0
153,Pevek,RU,69.7,170.31,48.74,76,100,1.52,overcast clouds,0.0,0
154,Senno,RU,59.53,33.92,71.53,50,99,14.76,overcast clouds,0.0,0
155,Yaan,NG,7.38,8.57,79.05,83,90,4.83,light rain,0.33,0
156,Demba,CD,-5.51,22.27,92.34,29,96,2.08,overcast clouds,0.0,0
157,Honiara,SB,-9.43,159.95,73.4,100,75,2.24,broken clouds,0.0,0
158,Butaritari,KI,3.07,172.79,82.42,80,100,15.55,light rain,0.46,0
159,Konevo,RU,62.12,39.32,59.41,96,100,9.46,light rain,0.47,0
160,Sinnamary,GF,5.38,-52.95,83.59,78,17,10.13,light rain,0.86,0
161,Yanam,IN,16.73,82.22,84.2,79,75,5.82,broken clouds,0.0,0
162,Codrington,AU,-38.27,141.97,47.01,91,84,1.32,light rain,0.26,0
163,Aswan,EG,24.09,32.91,105.01,10,0,14.05,clear sky,0.0,0
164,Sidi Ali,DZ,36.1,0.42,83.28,50,0,14.5,clear sky,0.0,0
165,Chenghai,CN,23.46,116.77,84.2,79,1,8.95,clear sky,0.0,0
166,Kenai,US,60.55,-151.26,53.6,87,40,1.59,scattered clouds,0.0,0
167,Akyab,MM,20.15,92.9,82.53,84,96,8.52,moderate rain,1.19,0
168,San Juan,AR,-31.54,-68.54,56.19,41,81,10.47,broken clouds,0.0,0
169,Holliston,US,42.2,-71.42,86.0,77,53,1.99,light rain,0.25,0
170,Mancio Lima,BR,-7.61,-72.9,77.0,78,20,3.36,few clouds,0.0,0
171,Kirakira,SB,-10.45,161.92,77.92,85,98,8.72,overcast clouds,0.0,0
172,Quipot,PH,13.93,121.32,80.01,88,100,1.01,overcast clouds,0.0,0
173,Kaliua,TZ,-5.06,31.79,83.43,36,100,5.19,overcast clouds,0.0,0
174,Qaanaaq,GL,77.48,-69.36,44.64,60,93,5.06,overcast clouds,0.0,0
175,Sistranda,NO,63.73,8.83,53.6,81,75,17.22,shower rain,0.0,0
176,Leua,SK,48.22,18.61,68.0,60,93,17.0,moderate rain,1.64,0
177,Aklavik,CA,68.22,-135.01,48.2,87,40,3.36,scattered clouds,0.0,0
178,Ponorogo,ID,-7.87,111.46,73.96,81,1,5.77,clear sky,0.0,0
179,Letterkenny,IE,54.95,-7.73,62.6,71,90,10.29,overcast clouds,0.0,0
180,Rajapur,IN,25.38,81.15,92.59,56,62,14.29,light rain,0.42,0
181,Belaya Gora,RU,68.53,146.42,58.95,71,60,4.03,broken clouds,0.0,0
182,Aberystwyth,GB,52.42,-4.08,64.0,55,0,5.99,clear sky,0.0,0
183,Christchurch,NZ,-43.53,172.63,39.2,93,8,4.7,clear sky,0.0,0
184,Castries,LC,14.0,-61.01,86.0,70,40,10.29,scattered clouds,0.0,0
185,Tiksi,RU,71.69,128.87,48.49,87,100,8.88,light rain,0.21,0
186,Batagay,RU,67.63,134.63,63.37,43,59,4.14,broken clouds,0.0,0
187,Bubaque,GW,11.28,-15.83,79.2,88,100,20.87,moderate rain,1.48,0
188,Bilibino,RU,68.05,166.44,57.81,86,100,2.66,light rain,0.3,0
189,Cabedelo,BR,-6.98,-34.83,80.6,78,90,12.75,overcast clouds,0.0,0
190,Itarema,BR,-2.92,-39.92,85.48,59,46,13.87,scattered clouds,0.0,0
191,Callaguip,PH,18.07,120.49,82.85,74,82,4.5,broken clouds,0.0,0
192,Viedma,AR,-40.81,-63.0,48.83,50,86,24.4,overcast clouds,0.0,0
193,Faanui,PF,-16.48,-151.75,77.58,79,36,18.41,scattered clouds,0.0,0
194,South Lake Tahoe,US,38.93,-119.98,71.01,50,1,3.36,clear sky,0.0,0
195,Palmer,US,42.16,-72.33,84.99,66,75,8.05,broken clouds,0.0,0
196,Khasan,RU,42.43,130.64,61.09,92,100,1.05,overcast clouds,0.0,0
197,Talas,TR,38.69,35.55,86.0,33,20,12.75,few clouds,0.0,0
198,Buala,SB,-8.14,159.59,81.25,76,99,11.14,overcast clouds,0.0,0
199,Zhanaozen,KZ,43.3,52.8,98.35,12,49,9.13,scattered clouds,0.0,0
200,Ust-Omchug,RU,61.15,149.63,51.42,76,0,3.0,clear sky,0.0,0
201,Saldanha,ZA,-33.01,17.94,59.0,54,7,5.82,clear sky,0.0,0
202,Xingyi,CN,24.19,102.82,62.28,95,100,5.61,overcast clouds,0.0,0
203,Boyolangu,ID,-8.12,111.89,75.16,88,74,4.88,broken clouds,0.0,0
204,Buchanan,LR,5.88,-10.05,78.8,78,75,11.41,broken clouds,0.0,0
205,Lorengau,PG,-2.02,147.27,81.5,77,51,5.93,light rain,0.36,0
206,Boddam,GB,57.47,-1.78,64.0,55,20,11.41,few clouds,0.0,0
207,Carauari,BR,-4.88,-66.9,89.78,55,1,1.54,clear sky,0.0,0
208,Castlebar,IE,53.85,-9.3,59.0,67,75,6.93,broken clouds,0.0,0
209,Chuy,UY,-33.7,-53.46,49.51,57,0,7.23,clear sky,0.0,0
210,East London,ZA,-33.02,27.91,60.8,48,88,33.33,light rain,0.61,0
211,Torbay,CA,47.67,-52.73,64.99,77,40,5.82,scattered clouds,0.0,0
212,Victoria,HK,22.29,114.16,86.0,70,62,8.99,broken clouds,0.0,0
213,Gutierrez,CO,4.25,-74.0,80.6,69,40,4.7,scattered clouds,0.0,0
214,Goya,AR,-29.14,-59.26,61.02,64,100,10.18,overcast clouds,0.0,0
215,Cherskiy,RU,68.75,161.3,46.02,95,40,11.16,scattered clouds,0.0,0
216,Tucupita,VE,9.06,-62.05,75.45,96,100,1.41,light rain,0.79,0
217,Skibbereen,IE,51.55,-9.27,62.6,55,40,11.41,scattered clouds,0.0,0
218,Saga,JP,33.25,130.3,75.99,94,75,3.36,light intensity shower rain,0.0,0
219,Natal,BR,-5.79,-35.21,78.8,74,75,11.41,broken clouds,0.0,0
220,Orlik,RU,52.52,99.83,55.87,83,100,4.54,light rain,0.66,0
221,Paamiut,GL,61.99,-49.67,43.56,89,31,6.67,scattered clouds,0.0,0
222,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,53.6,100,75,6.71,broken clouds,0.0,0
223,Thompson,CA,55.74,-97.86,59.0,82,75,3.36,broken clouds,0.0,0
224,Pitrufquen,CL,-38.98,-72.65,44.6,100,90,8.05,shower rain,0.0,0
225,Port Hardy,CA,50.7,-127.42,53.6,100,90,2.24,light rain,0.0,0
226,Olafsvik,IS,64.89,-23.71,51.96,85,100,12.17,overcast clouds,0.0,0
227,Sao Joao Da Barra,BR,-21.64,-41.05,78.8,61,20,6.93,few clouds,0.0,0
228,Oxilithos,GR,38.58,24.12,82.99,20,4,7.0,clear sky,0.0,0
229,Yermolayevo,RU,52.72,55.8,81.36,66,100,9.78,overcast clouds,0.0,0
230,Aksu,CN,41.12,80.26,74.35,41,28,2.48,light rain,0.47,0
231,Airai,TL,-8.93,125.41,57.79,100,35,3.6,scattered clouds,0.0,0
232,Saint-Francois,FR,46.42,3.91,79.0,22,0,10.29,clear sky,0.0,0
233,Pisco,PE,-13.7,-76.22,60.8,82,90,3.36,overcast clouds,0.0,0
234,Padang,ID,-0.95,100.35,79.36,78,95,4.18,moderate rain,1.26,0
235,Pangnirtung,CA,66.15,-65.71,46.4,87,75,11.41,broken clouds,0.0,0
236,Dovhe,UA,48.37,23.28,88.0,49,0,1.99,clear sky,0.0,0
237,Meadow Lake,US,34.8,-106.54,84.0,19,20,4.7,few clouds,0.0,0
238,Dingle,PH,11.0,122.67,78.12,85,86,3.18,overcast clouds,0.0,0
239,Iquitos,PE,-3.75,-73.25,80.6,83,75,4.7,broken clouds,0.0,0
240,Jalu,LY,29.03,21.55,98.42,14,0,12.93,clear sky,0.0,0
241,Broken Hill,AU,-31.95,141.43,46.4,81,90,8.05,overcast clouds,0.0,0
242,Twentynine Palms,US,34.14,-116.05,93.0,18,1,3.36,clear sky,0.0,0
243,Mar Del Plata,AR,-38.0,-57.56,48.99,65,33,2.24,scattered clouds,0.0,0
244,Saint-Joseph,RE,-21.37,55.62,69.8,73,20,4.7,few clouds,0.0,0
245,Opuwo,NA,-18.06,13.84,81.55,12,13,9.44,few clouds,0.0,0
246,Puerto Del Rosario,ES,28.5,-13.86,77.0,73,4,17.22,clear sky,0.0,0
247,Sioux Lookout,CA,50.1,-91.92,62.6,72,75,8.05,broken clouds,0.0,0
248,Saint-Pierre,RE,-21.34,55.48,69.8,73,20,4.7,few clouds,0.0,0
249,Farah,AF,32.5,62.5,88.45,19,0,27.27,clear sky,0.0,0
250,Arraial Do Cabo,BR,-22.97,-42.03,77.0,57,0,19.46,clear sky,0.0,0
251,Chirala,IN,15.82,80.35,86.7,73,100,9.75,light rain,0.53,0
252,Bosaso,SO,11.28,49.18,96.8,47,88,9.17,overcast clouds,0.0,0
253,Sun City West,US,33.66,-112.34,97.0,25,20,8.05,few clouds,0.0,0
254,Nanyang,CN,32.99,112.53,69.62,91,100,17.38,moderate rain,1.14,0
255,Husavik,IS,66.04,-17.34,59.0,58,75,9.17,broken clouds,0.0,0
256,Korla,CN,41.76,86.15,79.0,69,52,5.01,broken clouds,0.0,0
257,Vladicin Han,RS,42.71,22.06,88.0,37,28,5.01,moderate rain,1.17,0
258,Barnaul,RU,53.36,83.76,68.0,52,40,3.58,scattered clouds,0.0,0
259,Sola,VU,-13.88,167.55,79.83,83,85,24.94,light rain,0.43,0
260,Hoopstad,ZA,-27.83,25.91,49.73,45,0,12.39,clear sky,0.0,0
261,Nikolskoye,RU,59.7,30.79,64.4,52,40,11.18,scattered clouds,0.0,0
262,Ismailia,EG,30.6,32.27,90.3,36,0,21.79,clear sky,0.0,0
263,Chicama,PE,-7.84,-79.15,67.87,65,90,7.52,overcast clouds,0.0,0
264,Rawson,AR,-43.3,-65.1,44.87,56,22,37.22,few clouds,0.0,0
265,Lakselv,NO,70.05,24.97,59.0,58,100,13.87,light rain,0.36,0
266,Muroto,JP,33.28,134.15,77.65,91,99,5.93,light rain,0.84,0
267,Muswellbrook,AU,-32.27,150.9,51.01,89,100,1.99,overcast clouds,0.0,0
268,Myre,NO,69.1,15.95,55.4,71,28,5.82,scattered clouds,0.0,0
269,Novyy Urgal,RU,51.07,132.56,61.48,91,26,1.05,scattered clouds,0.0,0
270,Vardo,NO,70.37,31.11,53.6,66,75,10.29,broken clouds,0.0,0
271,Siva,EG,29.2,25.52,99.88,14,0,13.38,clear sky,0.0,0
272,Kilindoni,TZ,-7.91,39.67,77.23,79,24,14.41,few clouds,0.0,0
273,Tobermory,CA,45.25,-81.67,71.01,91,100,1.01,overcast clouds,0.0,0
274,Sefophe,BW,-22.18,27.97,71.6,46,0,11.41,clear sky,0.0,0
275,Hailun,CN,47.45,126.93,66.51,75,0,3.58,clear sky,0.0,0
276,Flinders,AU,-34.58,150.86,48.99,89,99,1.01,light rain,0.25,0
277,Santa Cruz,BO,-17.8,-63.17,78.8,69,75,2.24,broken clouds,0.0,0
278,Peski,RU,55.22,38.76,80.6,44,1,11.18,clear sky,0.0,0
279,San Luis,AR,-33.3,-66.34,56.84,46,28,21.74,scattered clouds,0.0,0
280,Talnakh,RU,69.49,88.4,51.8,81,75,17.9,broken clouds,0.0,0
281,Pingliang,CN,35.54,106.69,61.25,85,100,2.53,overcast clouds,0.0,0
282,Lavrentiya,RU,65.58,-171.0,46.35,68,0,6.89,clear sky,0.0,0
283,Cidreira,BR,-30.18,-50.21,57.4,94,100,7.23,overcast clouds,0.0,0
284,Sanmenxia,CN,34.77,111.18,67.57,85,100,8.14,moderate rain,1.69,0
